Borough,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
Bronx,2014-15,"239,110","13,875","19,235","19,960","19,266","18,365","18,096","16,874","16,273","16,421","16,533","19,180","17,181","13,616","14,235","115,300",48.2%,"123,810",51.8%,"10,652",4.5%,"68,935",28.8%,"145,866",61.0%,"3,007",1.3%,"10,650",4.5%,"52,895",22.1%,"38,595",16.1%,"198,620",83.1%,78.6%
Bronx,2015-16,"241,986","15,081","18,952","20,013","19,554","18,695","18,189","17,761","16,603","16,395","16,392","18,969","17,155","13,806","14,421","116,750",48.2%,"125,236",51.8%,"10,754",4.4%,"68,436",28.3%,"149,372",61.7%,"3,275",1.4%,"10,149",4.2%,"54,745",22.6%,"38,372",15.9%,"198,581",82.1%,77.8%
Bronx,2016-17,"241,776","14,825","17,974","19,579","19,611","18,943","18,505","17,824","17,207","16,610","16,436","18,551","17,140","13,948","14,623","116,584",48.2%,"125,190",51.8%,"11,109",4.6%,"66,913",27.7%,"149,741",61.9%,"3,632",1.5%,"10,381",4.3%,"55,462",22.9%,"41,129",17.0%,"197,520",81.7%,77.4%
Bronx,2017-18,"239,955","14,948","17,812","18,598","19,008","18,940","18,535","18,173","17,152","17,039","16,604","17,860","16,643","14,038","14,605","115,867",48.3%,"124,084",51.7%,"11,458",4.8%,"65,599",27.3%,"148,849",62.0%,"3,518",1.5%,"10,531",4.4%,"55,719",23.2%,"41,316",17.2%,"208,334",86.8%,85.7%
Bronx,2018-19,"236,267","15,105","17,259","18,071","17,962","18,318","18,426","18,026","17,405","16,921","16,833","17,118","16,289","13,804","14,730","114,014",48.3%,"122,253",51.7%,"11,608",4.9%,"63,949",27.1%,"146,742",62.1%,"3,749",1.6%,"10,219",4.3%,"54,201",22.9%,"40,034",16.9%,"200,362",84.8%,84.5%
Brooklyn,2014-15,"339,267","21,724","26,597","27,680","27,303","25,571","24,644","23,783","23,109","22,990","22,546","26,511","25,472","19,794","21,543","164,215",48.4%,"175,052",51.6%,"50,908",15.0%,"132,860",39.2%,"94,858",28.0%,"5,295",1.6%,"55,346",16.3%,"61,440",18.1%,"42,091",12.4%,"247,938",73.1%,65.9%
Brooklyn,2015-16,"342,119","23,663","26,013","27,347","27,065","26,426","24,958","24,474","23,346","22,931","22,892","25,664","25,496","20,030","21,814","165,555",48.4%,"176,564",51.6%,"52,527",15.4%,"130,298",38.1%,"95,544",27.9%,"6,247",1.8%,"57,503",16.8%,"64,433",18.8%,"40,969",12.0%,"243,916",71.3%,64.1%
Brooklyn,2016-17,"344,408","24,126","25,680","26,405","26,928","26,474","25,928","24,746","24,154","23,291","22,933","25,423","25,203","21,052","22,065","166,334",48.3%,"178,072",51.7%,"54,910",15.9%,"127,475",37.0%,"95,690",27.8%,"6,893",2.0%,"59,440",17.3%,"66,309",19.3%,"44,335",12.9%,"244,956",71.1%,63.2%
Brooklyn,2017-18,"342,622","23,277","25,578","25,928","25,812","26,253","25,851","25,690","24,166","23,883","23,168","25,220","24,751","20,692","22,353","165,532",48.3%,"177,070",51.7%,"55,732",16.3%,"123,782",36.1%,"95,225",27.8%,"7,314",2.1%,"60,569",17.7%,"67,444",19.7%,"44,390",13.0%,"261,947",76.5%,73.7%
Brooklyn,2018-19,"339,985","24,104","24,074","25,562","25,159","25,060","25,561","25,307","25,044","23,912","23,663","25,112","24,739","20,476","22,212","164,322",48.3%,"175,662",51.7%,"56,134",16.5%,"119,917",35.3%,"94,884",27.9%,"7,788",2.3%,"61,262",18.0%,"66,060",19.4%,"42,679",12.6%,"250,670",73.7%,71.5%
