DBN,School Name,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
01M015,P.S. 015 Roberto Clemente,2014-15,183,18,27,47,31,19,17,24,0,0,0,0,0,0,0,84,45.9%,99,54.1%,8,4.4%,65,35.5%,107,58.5%,1,0.5%,2,1.1%,64,35.0%,17,9.3%,169,92.3%,93.0%
01M015,P.S. 015 Roberto Clemente,2015-16,176,14,32,33,39,23,17,18,0,0,0,0,0,0,0,83,47.2%,93,52.8%,9,5.1%,57,32.4%,105,59.7%,3,1.7%,2,1.1%,60,34.1%,16,9.1%,149,84.7%,88.9%
01M015,P.S. 015 Roberto Clemente,2016-17,178,17,28,33,27,31,24,18,0,0,0,0,0,0,0,83,46.6%,95,53.4%,14,7.9%,51,28.7%,105,59.0%,4,2.2%,4,2.2%,51,28.7%,12,6.7%,152,85.4%,88.2%
01M015,P.S. 015 Roberto Clemente,2017-18,190,17,28,32,33,23,31,26,0,0,0,0,0,0,0,99,52.1%,91,47.9%,20,10.5%,52,27.4%,110,57.9%,2,1.1%,6,3.2%,49,25.8%,8,4.2%,161,84.7%,89.0%
01M015,P.S. 015 Roberto Clemente,2018-19,174,13,20,33,30,30,20,28,0,0,0,0,0,0,0,85,48.9%,89,51.1%,24,13.8%,48,27.6%,95,54.6%,1,0.6%,6,3.4%,38,21.8%,8,4.6%,145,83.3%,88.0%
01M019,P.S. 019 Asher Levy,2014-15,270,30,44,40,39,35,40,42,0,0,0,0,0,0,0,132,48.9%,138,51.1%,30,11.1%,47,17.4%,158,58.5%,8,3.0%,27,10.0%,82,30.4%,18,6.7%,200,74.1%,60.5%
01M019,P.S. 019 Asher Levy,2015-16,270,21,47,43,41,43,35,40,0,0,0,0,0,0,0,125,46.3%,145,53.7%,27,10.0%,55,20.4%,169,62.6%,3,1.1%,16,5.9%,82,30.4%,13,4.8%,217,80.4%,62.5%
01M019,P.S. 019 Asher Levy,2016-17,271,24,37,46,47,40,43,34,0,0,0,0,0,0,0,127,46.9%,144,53.1%,24,8.9%,51,18.8%,180,66.4%,1,0.4%,15,5.5%,88,32.5%,9,3.3%,207,76.4%,57.8%
01M019,P.S. 019 Asher Levy,2017-18,257,13,34,38,42,46,42,42,0,0,0,0,0,0,0,114,44.4%,143,55.6%,23,8.9%,49,19.1%,166,64.6%,3,1.2%,16,6.2%,90,35.0%,8,3.1%,198,77.0%,67.9%
01M019,P.S. 019 Asher Levy,2018-19,249,10,30,39,43,41,44,42,0,0,0,0,0,0,0,114,45.8%,135,54.2%,14,5.6%,52,20.9%,156,62.7%,9,3.6%,18,7.2%,92,36.9%,8,3.2%,180,72.3%,66.8%
01M020,P.S. 020 Anna Silver,2014-15,633,51,102,108,100,98,104,70,0,0,0,0,0,0,0,301,47.6%,332,52.4%,231,36.5%,53,8.4%,309,48.8%,15,2.4%,25,3.9%,144,22.7%,120,19.0%,411,64.9%,71.8%
01M020,P.S. 020 Anna Silver,2015-16,581,46,82,90,98,92,81,92,0,0,0,0,0,0,0,277,47.7%,304,52.3%,204,35.1%,46,7.9%,286,49.2%,21,3.6%,24,4.1%,123,21.2%,88,15.1%,353,60.8%,67.4%
01M020,P.S. 020 Anna Silver,2016-17,540,41,83,83,92,95,77,69,0,0,0,0,0,0,0,265,49.1%,275,50.9%,175,32.4%,52,9.6%,264,48.9%,22,4.1%,27,5.0%,116,21.5%,93,17.2%,315,58.3%,67.7%
01M020,P.S. 020 Anna Silver,2017-18,497,34,71,82,69,89,83,69,0,0,0,0,0,0,0,244,49.1%,253,50.9%,147,29.6%,51,10.3%,264,53.1%,19,3.8%,16,3.2%,118,23.7%,86,17.3%,366,73.6%,80.0%
01M020,P.S. 020 Anna Silver,2018-19,481,42,61,69,76,67,90,76,0,0,0,0,0,0,0,239,49.7%,242,50.3%,138,28.7%,66,13.7%,239,49.7%,16,3.3%,22,4.6%,115,23.9%,63,13.1%,316,65.7%,73.8%
01M034,P.S. 034 Franklin D. Roosevelt,2014-15,395,18,40,32,29,35,32,44,63,43,59,0,0,0,0,199,50.4%,196,49.6%,25,6.3%,110,27.8%,245,62.0%,1,0.3%,14,3.5%,119,30.1%,26,6.6%,381,96.5%,85.6%
01M034,P.S. 034 Franklin D. Roosevelt,2015-16,394,18,33,41,30,27,36,33,64,62,50,0,0,0,0,200,50.8%,194,49.2%,18,4.6%,113,28.7%,249,63.2%,0,0.0%,14,3.6%,122,31.0%,29,7.4%,384,97.5%,85.6%
01M034,P.S. 034 Franklin D. Roosevelt,2016-17,350,13,21,24,37,31,29,36,38,59,62,0,0,0,0,170,48.6%,180,51.4%,19,5.4%,102,29.1%,216,61.7%,2,0.6%,11,3.1%,130,37.1%,27,7.7%,348,99.4%,86.2%
01M034,P.S. 034 Franklin D. Roosevelt,2017-18,333,13,25,18,22,47,35,36,38,41,58,0,0,0,0,150,45.0%,183,55.0%,11,3.3%,106,31.8%,204,61.3%,3,0.9%,9,2.7%,124,37.2%,25,7.5%,326,97.9%,93.7%
01M034,P.S. 034 Franklin D. Roosevelt,2018-19,305,17,26,20,16,21,43,40,39,44,39,0,0,0,0,145,47.5%,160,52.5%,8,2.6%,102,33.4%,182,59.7%,4,1.3%,9,3.0%,114,37.4%,22,7.2%,301,98.7%,94.4%
01M063,The STAR Academy - P.S.63,2014-15,199,25,35,34,38,25,21,21,0,0,0,0,0,0,0,98,49.2%,101,50.8%,14,7.0%,41,20.6%,124,62.3%,0,0.0%,20,10.1%,68,34.2%,7,3.5%,166,83.4%,69.3%
01M063,The STAR Academy - P.S.63,2015-16,203,15,47,42,35,28,19,17,0,0,0,0,0,0,0,100,49.3%,103,50.7%,9,4.4%,40,19.7%,131,64.5%,2,1.0%,21,10.3%,65,32.0%,6,3.0%,172,84.7%,70.5%
