DBN,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Supportive Environment Score,Strong Family-Community Ties Score,Trust Score
,,,,,,,,,,
,,,,,,,,,,
01M015,P.S. 015 Roberto Clemente,88%,100%,N/A,N/A,N/A,N/A,4.25,N/A,4.33
01M019,P.S. 019 Asher Levy,100%,100%,N/A,4.45,4.55,4.81,3.53,3.62,3.73
01M020,P.S. 020 Anna Silver,60%,91%,N/A,2.50,3.01,1.81,2.30,2.97,2.68
01M034,P.S. 034 Franklin D. Roosevelt,29%,60%,96%,2.01,2.40,2.44,2.80,2.88,2.57
01M063,The Star Academy - P.S.63,72%,100%,N/A,4.35,4.10,4.11,3.47,3.29,3.77
01M064,P.S. 064 Robert Simon,39%,92%,N/A,4.67,4.07,3.64,3.49,3.30,4.00
01M110,P.S. 110 Florence Nightingale,72%,83%,N/A,3.32,3.19,2.40,3.74,3.29,2.77
01M134,P.S. 134 Henrietta Szold,60%,88%,N/A,3.47,3.20,3.35,3.60,3.09,3.23
01M140,P.S. 140 Nathan Straus,72%,82%,95%,3.17,3.80,3.72,2.53,2.76,3.00
01M142,P.S. 142 Amalia Castro,97%,100%,N/A,3.80,4.38,3.45,3.59,3.50,4.14
01M184,P.S. 184M Shuang Wen,74%,66%,100%,3.15,2.72,3.10,3.80,2.55,2.36
01M188,P.S. 188 The Island School,97%,66%,80%,4.25,4.88,3.87,4.04,4.89,4.87
01M292,Orchard Collegiate Academy,63%,90%,92%,N/A,N/A,N/A,3.98,N/A,4.29
01M301,"Technology, Arts, And Sciences Studio",25%,90%,79%,1.46,2.05,2.19,2.03,3.30,2.79
01M315,The East Village Community School,65%,96%,N/A,3.26,2.66,3.60,3.75,4.57,3.50
01M332,University Neighborhood Middle School,66%,88%,89%,3.47,3.83,3.81,3.31,2.52,3.19
01M361,The Children'S Workshop School,33%,64%,N/A,3.88,4.21,3.80,3.98,3.83,3.96
01M363,Neighborhood School,70%,96%,N/A,3.84,3.78,3.86,4.22,3.83,3.99
01M364,Earth School,62%,93%,N/A,4.82,3.78,3.94,3.79,4.57,3.91
01M378,School For Global Leaders,68%,86%,84%,3.49,4.22,4.53,3.20,4.12,3.57
01M448,University Neighborhood High School,34%,100%,93%,3.65,3.90,3.91,4.34,3.75,4.11
01M450,East Side Community School,57%,98%,92%,4.68,4.52,4.51,4.57,4.46,4.33
01M458,Forsyth Satellite Academy,28%,100%,69%,3.43,4.74,2.83,3.78,3.08,4.34
01M509,Marta Valle High School,17%,80%,76%,2.34,2.74,1.82,2.68,2.34,1.96
01M515,Lower East Side Preparatory High School,56%,100%,86%,4.72,4.73,4.32,3.68,3.85,4.29
01M539,"New Explorations Into Science, Technology And Math High School",65%,96%,89%,N/A,N/A,N/A,3.70,N/A,2.47
01M650,Cascades High School,10%,100%,58%,N/A,N/A,N/A,3.63,N/A,4.57
01M696,Bard High School Early College,52%,81%,95%,4.09,4.06,4.08,3.90,3.52,3.82
01M839,Tompkins Square Middle School,49%,84%,94%,4.44,3.79,4.32,3.66,3.81,4.03
