DBN,School Type,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Percent Satisfaction: Collaborative Teachers,Percent Satisfaction: Effective School Leadership,Percent Satisfaction: Rigorous Instruction,Percent Satisfaction: Strong Family-Community Ties,Percent Satisfaction: Supportive Environment,Percent Satisfaction: Trust,Percent Satisfaction: Parent,Percent Satisfaction: Student,Percent Satisfaction: Teacher
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
01M015,Elementary School,P.S. 015 Roberto Clemente,62%,100%,N/A,94%,91%,89%,85%,86%,94%,91%,N/A,91%
01M019,Elementary School,P.S. 019 Asher Levy,100%,98%,N/A,96%,90%,96%,86%,97%,94%,92%,N/A,96%
01M020,Elementary School,P.S. 020 Anna Silver,56%,72%,N/A,77%,61%,87%,80%,82%,79%,86%,N/A,75%
01M034,Elementary/Middle,P.S. 034 Franklin D. Roosevelt,25%,59%,91%,78%,73%,85%,89%,82%,88%,93%,79%,80%
01M063,Elementary School,The STAR Academy - P.S.63,49%,85%,N/A,88%,81%,90%,89%,87%,93%,94%,N/A,87%
01M064,Elementary School,P.S. 064 Robert Simon,25%,61%,N/A,99%,91%,93%,88%,95%,97%,92%,N/A,96%
01M110,Elementary School,P.S. 110 Florence Nightingale,75%,79%,N/A,78%,69%,88%,87%,95%,78%,90%,N/A,79%
01M134,Elementary School,P.S. 134 Henrietta Szold,47%,93%,N/A,89%,88%,87%,79%,88%,94%,92%,N/A,88%
01M137,Elementary School,P.S. 137 John L. Bernstein,70%,65%,N/A,80%,71%,79%,81%,74%,90%,91%,N/A,77%
01M140,Elementary/Middle,P.S. 140 Nathan Straus,45%,88%,97%,91%,87%,94%,83%,85%,93%,90%,83%,93%
01M142,Elementary School,P.S. 142 Amalia Castro,85%,89%,N/A,89%,83%,92%,89%,90%,95%,95%,N/A,88%
01M184,Elementary/Middle,P.S. 184m Shuang Wen,84%,81%,100%,81%,67%,90%,83%,91%,85%,89%,90%,79%
01M188,Elementary/Middle,P.S. 188 The Island School,80%,84%,97%,100%,99%,100%,92%,99%,99%,96%,99%,100%
01M292,Middle/High,Henry Street School for International Studies,29%,100%,73%,77%,72%,72%,76%,77%,87%,89%,75%,78%
01M301,Middle School,"Technology, Arts, and Sciences Studio",26%,83%,88%,78%,80%,84%,74%,81%,87%,86%,80%,80%
01M315,Elementary School,The East Village Community School,68%,100%,N/A,93%,93%,90%,97%,94%,96%,98%,N/A,92%
01M332,Middle School,University Neighborhood Middle School,72%,100%,99%,96%,96%,92%,86%,92%,96%,95%,91%,96%
01M345,Middle School,"Collaborative Academy of Science, Technology, & Language-Arts Education",50%,71%,91%,86%,82%,85%,79%,83%,88%,86%,81%,85%
01M361,Elementary School,The Children's Workshop School,32%,75%,N/A,97%,96%,97%,93%,97%,94%,92%,N/A,97%
01M363,Elementary School,Neighborhood School,66%,81%,N/A,97%,96%,99%,95%,95%,99%,96%,N/A,97%
01M364,Elementary School,Earth School,60%,100%,N/A,99%,98%,96%,96%,96%,98%,97%,N/A,98%
01M378,Middle School,School for Global Leaders,75%,100%,90%,87%,77%,79%,76%,82%,88%,88%,80%,84%
