DBN,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Percent Satisfaction: Collaborative Teachers,Percent Satisfaction: Effective School Leadership,Percent Satisfaction: Rigorous Instruction,Percent Satisfaction: Strong Family-Community Ties,Percent Satisfaction: Supportive Environment,Percent Satisfaction: Trust,Percent Satisfaction: Parent,Percent Satisfaction: Student,Percent Satisfaction: Teacher
,,,,,,,,,,,,,
,,,,,,,,,,,,,
01M015,P.S. 015 Roberto Clemente,36%,96%,N/A,96%,94%,88%,92%,78%,94%,92%,N/A,90%
01M019,P.S. 019 Asher Levy,100%,90%,N/A,91%,91%,94%,92%,92%,94%,93%,N/A,92%
01M020,P.S. 020 Anna Silver,40%,59%,N/A,62%,33%,58%,80%,73%,55%,72%,N/A,56%
01M034,P.S. 034 Franklin D. Roosevelt,25%,49%,95%,73%,80%,79%,91%,65%,87%,94%,69%,77%
01M063,The Star Academy - P.S.63,63%,100%,N/A,94%,97%,90%,95%,92%,95%,94%,N/A,94%
01M064,P.S. 064 Robert Simon,22%,72%,N/A,89%,88%,90%,86%,86%,86%,87%,N/A,87%
01M110,P.S. 110 Florence Nightingale,77%,69%,N/A,80%,83%,87%,92%,88%,84%,92%,N/A,83%
01M134,P.S. 134 Henrietta Szold,38%,90%,N/A,80%,86%,86%,88%,72%,91%,91%,N/A,83%
01M137,P.S. 137 John L. Bernstein,73%,100%,N/A,66%,79%,63%,88%,52%,89%,86%,N/A,69%
01M140,P.S. 140 Nathan Straus,20%,60%,91%,84%,91%,82%,89%,75%,86%,89%,75%,87%
01M142,P.S. 142 Amalia Castro,70%,82%,N/A,86%,95%,85%,92%,73%,95%,94%,N/A,86%
01M184,P.S. 184M Shuang Wen,86%,62%,100%,65%,67%,76%,87%,75%,79%,87%,77%,67%
01M188,P.S. 188 The Island School,100%,100%,86%,100%,100%,100%,99%,100%,100%,99%,100%,100%
01M292,Henry Street School For International Studies,40%,100%,93%,76%,89%,80%,83%,73%,91%,91%,75%,83%
01M301,"Technology, Arts, And Sciences Studio",39%,89%,86%,76%,86%,79%,85%,70%,87%,93%,70%,81%
01M315,The East Village Community School,72%,80%,N/A,79%,78%,82%,98%,79%,87%,98%,N/A,78%
01M332,University Neighborhood Middle School,65%,100%,100%,95%,96%,92%,89%,85%,97%,95%,85%,96%
01M345,"Collaborative Academy Of Science, Technology, & Language-Arts Education",17%,85%,88%,69%,88%,77%,71%,65%,81%,79%,67%,79%
01M361,The Children'S Workshop School,35%,59%,N/A,89%,94%,93%,96%,85%,93%,95%,N/A,90%
01M363,Neighborhood School,63%,96%,N/A,85%,89%,88%,93%,85%,91%,91%,N/A,88%
01M364,Earth School,59%,72%,N/A,97%,96%,88%,97%,90%,95%,95%,N/A,94%
01M378,School For Global Leaders,80%,89%,83%,89%,91%,88%,88%,71%,89%,93%,71%,90%
01M448,University Neighborhood High School,36%,96%,90%,91%,95%,91%,85%,76%,92%,91%,77%,94%
01M450,East Side Community School,61%,100%,87%,94%,96%,92%,94%,84%,95%,95%,84%,95%
01M458,Forsyth Satellite Academy,8%,100%,46%,79%,76%,79%,86%,76%,80%,91%,78%,76%
