DBN,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Supportive Environment Score,Strong Family-Community Ties Score,Trust Score
,,,,,,,,,,
,,,,,,,,,,
01M015,P.S. 015 ROBERTO CLEMENTE,91%,100%,N/A,4.10,4.19,4.02,N/A,4.18,3.96
01M019,P.S. 019 ASHER LEVY,100%,93%,N/A,4.53,4.51,4.80,N/A,4.66,3.76
01M020,P.S. 020 ANNA SILVER,58%,90%,N/A,2.71,2.98,1.92,N/A,3.84,3.14
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,29%,100%,95%,2.69,2.59,2.14,N/A,3.67,2.38
01M063,THE STAR ACADEMY - P.S.63,80%,100%,N/A,N/A,N/A,N/A,N/A,N/A,3.77
01M064,P.S. 064 ROBERT SIMON,52%,96%,N/A,4.56,4.09,3.74,N/A,4.18,4.04
01M110,P.S. 110 FLORENCE NIGHTINGALE,79%,77%,N/A,3.11,3.15,1.96,N/A,3.67,3.29
01M134,P.S. 134 HENRIETTA SZOLD,46%,93%,N/A,2.51,1.53,3.19,N/A,3.38,2.55
01M140,P.S. 140 NATHAN STRAUS,57%,89%,87%,3.44,4.21,3.40,N/A,3.59,3.70
01M142,P.S. 142 AMALIA CASTRO,100%,100%,N/A,3.55,3.73,3.23,N/A,4.01,3.12
01M184,P.S. 184M SHUANG WEN,92%,100%,100%,2.68,2.49,2.77,N/A,3.42,3.09
01M188,P.S. 188 THE ISLAND SCHOOL,99%,69%,66%,4.18,4.66,3.85,N/A,4.40,4.72
01M292,ORCHARD COLLEGIATE ACADEMY,49%,100%,82%,3.75,3.48,3.30,N/A,3.06,3.88
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,78%,92%,N/A,3.89,3.97,3.81,N/A,4.74,3.62
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,76%,86%,92%,4.08,3.92,2.70,N/A,3.20,3.84
01M361,THE CHILDREN'S WORKSHOP SCHOOL,31%,81%,N/A,4.32,4.17,3.75,N/A,4.40,4.20
01M363,NEIGHBORHOOD SCHOOL,54%,92%,N/A,3.84,4.20,4.06,N/A,4.23,3.82
01M364,EARTH SCHOOL,59%,79%,N/A,4.69,4.39,4.28,N/A,4.57,3.78
01M378,SCHOOL FOR GLOBAL LEADERS,74%,91%,77%,3.72,4.06,4.88,N/A,4.17,4.32
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,37%,100%,94%,N/A,N/A,N/A,N/A,N/A,4.15
01M450,EAST SIDE COMMUNITY SCHOOL,74%,94%,91%,4.84,4.50,4.57,N/A,4.65,4.51
01M458,FORSYTH SATELLITE ACADEMY,8%,81%,36%,3.76,4.08,3.61,N/A,2.99,4.48
01M509,MARTA VALLE HIGH SCHOOL,19%,54%,74%,2.03,2.63,1.92,N/A,2.44,1.83
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,47%,100%,78%,4.37,4.24,3.74,N/A,4.02,4.41
