DBN,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Supportive Environment Score,Strong Family-Community Ties Score,Trust Score
,,,,,,,,,,
01M015,P.S. 015 ROBERTO CLEMENTE,75%,100%,N/A,4.12,4.09,3.91,N/A,3.80,3.99
01M019,P.S. 019 ASHER LEVY,96%,95%,N/A,4.27,4.25,4.64,N/A,4.10,3.55
01M020,P.S. 020 ANNA SILVER,50%,89%,N/A,2.76,3.04,1.94,N/A,3.64,3.12
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,29%,78%,92%,2.40,2.45,2.04,N/A,3.33,2.32
01M063,THE STAR ACADEMY - P.S.63,63%,100%,N/A,4.53,4.07,4.14,N/A,4.01,3.95
01M064,P.S. 064 ROBERT SIMON,40%,96%,N/A,4.44,3.94,3.54,N/A,4.01,3.91
01M110,P.S. 110 FLORENCE NIGHTINGALE,65%,92%,N/A,3.68,3.21,2.51,N/A,3.79,3.55
01M134,P.S. 134 HENRIETTA SZOLD,37%,89%,N/A,3.52,3.61,3.49,N/A,3.30,3.67
01M140,P.S. 140 NATHAN STRAUS,46%,50%,79%,3.25,4.11,3.41,N/A,3.12,3.26
01M142,P.S. 142 AMALIA CASTRO,97%,95%,N/A,3.81,3.91,3.53,N/A,4.04,3.68
01M184,P.S. 184M SHUANG WEN,65%,92%,99%,2.96,2.75,2.98,N/A,3.38,2.91
01M188,P.S. 188 THE ISLAND SCHOOL,100%,86%,82%,4.25,4.99,3.87,N/A,4.99,4.99
01M292,ORCHARD COLLEGIATE ACADEMY,46%,100%,88%,4.02,3.67,3.57,N/A,3.50,4.07
01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",19%,54%,84%,N/A,N/A,N/A,N/A,N/A,N/A
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,65%,93%,N/A,3.68,3.63,4.07,N/A,4.69,4.08
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,81%,100%,93%,N/A,N/A,N/A,N/A,N/A,4.16
01M361,THE CHILDREN'S WORKSHOP SCHOOL,36%,65%,N/A,3.79,3.84,3.77,N/A,4.29,3.31
01M363,NEIGHBORHOOD SCHOOL,65%,96%,N/A,3.92,4.31,3.92,N/A,4.31,3.85
01M364,EARTH SCHOOL,67%,93%,N/A,4.51,3.67,4.05,N/A,4.69,4.08
01M378,SCHOOL FOR GLOBAL LEADERS,63%,67%,92%,3.20,3.62,4.78,N/A,4.07,3.68
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,31%,100%,81%,3.92,4.30,4.10,N/A,4.01,4.18
01M450,EAST SIDE COMMUNITY SCHOOL,63%,92%,88%,4.57,4.20,4.37,N/A,4.68,4.31
01M458,FORSYTH SATELLITE ACADEMY,23%,100%,50%,N/A,N/A,N/A,N/A,N/A,4.64
01M509,MARTA VALLE HIGH SCHOOL,21%,33%,83%,2.95,3.62,1.99,N/A,N/A,N/A
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,51%,97%,85%,4.65,4.27,4.50,N/A,4.07,4.29
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",63%,95%,82%,3.19,3.74,3.89,N/A,4.08,3.08
01M650,CASCADES HIGH SCHOOL,12%,100%,43%,3.25,3.03,3.00,N/A,3.02,3.66
01M696,BARD HIGH SCHOOL EARLY COLLEGE,51%,78%,91%,4.25,3.83,4.09,N/A,4.06,3.83
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,52%,75%,93%,4.44,3.74,4.25,N/A,3.98,3.85
02M001,P.S. 001 ALFRED E. SMITH,66%,79%,N/A,3.52,2.90,3.96,N/A,3.67,3.82
02M002,P.S. 002 MEYER LONDON,73%,68%,N/A,3.67,4.06,3.07,N/A,3.83,4.14
02M003,P.S. 003 CHARRETTE SCHOOL,48%,68%,N/A,3.63,3.61,3.28,N/A,4.22,4.02
02M006,P.S. 006 LILLIE D. BLAKE,52%,68%,N/A,4.36,3.25,4.80,N/A,4.29,2.94
02M011,P.S. 011 WILLIAM T. HARRIS,62%,88%,N/A,4.56,4.29,4.52,N/A,4.61,4.24
02M033,P.S. 033 CHELSEA PREP,64%,51%,N/A,2.86,2.54,3.97,N/A,3.81,1.42
02M040,P.S. 040 AUGUSTUS SAINT-GAUDENS,51%,83%,N/A,4.69,4.46,4.90,N/A,4.62,4.63
02M041,P.S. 041 GREENWICH VILLAGE,69%,93%,N/A,4.72,4.27,4.87,N/A,4.61,4.42
02M042,P.S. 042 BENJAMIN ALTMAN,95%,100%,N/A,3.90,4.54,4.33,N/A,4.11,4.34
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,14%,81%,88%,3.45,1.72,3.50,N/A,3.21,3.23
02M051,P.S. 051 ELIAS HOWE,77%,73%,N/A,4.55,4.06,3.93,N/A,4.23,4.43
02M059,P.S. 059 BEEKMAN HILL INTERNATIONAL,59%,60%,N/A,4.19,3.77,4.59,N/A,4.61,3.84
02M077,P.S. 77 LOWER LAB SCHOOL,93%,94%,N/A,3.55,3.95,4.52,N/A,4.45,2.48
02M089,P.S. 89,56%,61%,N/A,4.46,4.05,4.74,N/A,4.62,4.31
02M104,J.H.S. 104 SIMON BARUCH,74%,89%,91%,4.16,3.19,4.21,N/A,3.21,3.50
02M111,P.S. 111 ADOLPH S. OCHS,56%,71%,N/A,3.02,3.12,2.81,N/A,3.70,3.63
02M114,EAST SIDE MIDDLE SCHOOL,60%,90%,98%,4.48,3.91,4.81,N/A,4.03,3.77
02M116,P.S. 116 MARY LINDLEY MURRAY,42%,86%,N/A,4.71,3.92,4.80,N/A,4.23,4.03
02M124,P.S. 124 YUNG WING,100%,100%,N/A,3.33,3.06,3.20,N/A,3.71,3.48
02M126,P.S. 126 JACOB AUGUST RIIS,51%,67%,88%,4.47,3.78,4.40,N/A,3.68,4.10
02M130,P.S. 130 HERNANDO DE SOTO,72%,95%,N/A,3.91,4.50,3.77,N/A,4.11,4.48
02M131,M.S. 131,65%,60%,98%,4.29,3.88,3.94,N/A,3.81,3.86
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,29%,100%,78%,3.50,3.43,3.85,N/A,3.95,3.39
02M139,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,32%,100%,95%,4.29,3.72,3.35,N/A,3.92,3.79
02M150,P.S. 150,85%,100%,N/A,4.23,4.34,3.85,N/A,4.61,4.10
02M151,YORKVILLE COMMUNITY SCHOOL,67%,100%,N/A,4.61,4.02,4.90,N/A,4.62,4.24
02M158,P.S. 158 BAYARD TAYLOR,50%,51%,N/A,3.77,2.66,4.79,N/A,4.45,3.03
02M167,J.H.S. 167 ROBERT F. WAGNER,70%,93%,80%,3.88,3.34,4.15,N/A,3.35,3.45
02M177,YORKVILLE EAST MIDDLE SCHOOL,41%,95%,88%,3.65,3.95,3.40,N/A,4.45,3.69
02M183,P.S. 183 ROBERT L. STEVENSON,65%,68%,N/A,4.35,3.88,3.61,N/A,4.69,4.26
02M198,P.S. 198 ISADOR E. IDA STRAUS,76%,89%,N/A,3.39,3.58,3.51,N/A,4.31,3.78
02M212,P.S. 212 MIDTOWN WEST,85%,86%,N/A,4.75,4.10,4.43,N/A,4.69,4.28
02M217,P.S./I.S. 217 ROOSEVELT ISLAND,59%,88%,100%,N/A,N/A,N/A,N/A,N/A,3.37
02M225,ELLA BAKER SCHOOL,64%,70%,92%,N/A,N/A,N/A,N/A,N/A,3.92
02M234,P.S. 234 INDEPENDENCE SCHOOL,63%,74%,N/A,4.33,2.71,4.39,N/A,4.45,3.97
02M255,M.S. 255 SALK SCHOOL OF SCIENCE,68%,100%,97%,4.76,4.78,4.16,N/A,4.62,4.75
02M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,52%,58%,78%,2.56,2.27,4.51,N/A,4.00,3.11
02M267,"EAST SIDE ELEMENTARY SCHOOL, PS 267",58%,97%,N/A,4.21,3.17,4.77,N/A,4.38,3.59
02M276,BATTERY PARK CITY SCHOOL,58%,94%,94%,3.61,3.87,4.65,N/A,4.29,3.71
02M280,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,21%,88%,82%,3.64,3.98,3.44,N/A,4.59,3.73
02M281,THE RIVER SCHOOL,76%,95%,N/A,4.51,3.78,3.87,N/A,4.62,4.25
02M282,URBAN ASSEMBLY MAKER ACADEMY,37%,100%,80%,3.81,3.86,3.17,N/A,4.05,4.29
02M288,FOOD AND FINANCE HIGH SCHOOL,23%,47%,78%,2.29,2.66,2.70,N/A,2.62,2.89
02M289,I.S. 289,75%,90%,96%,4.43,3.65,4.05,N/A,3.95,3.78
02M290,P.S. 290 MANHATTAN NEW SCHOOL,65%,76%,N/A,4.20,3.29,4.51,N/A,4.61,3.62
02M294,ESSEX STREET ACADEMY,36%,96%,87%,4.67,4.60,4.39,N/A,4.11,4.32
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,3%,57%,23%,4.11,3.12,3.62,N/A,2.37,3.80
02M297,M.S. 297,54%,93%,95%,N/A,N/A,N/A,N/A,N/A,N/A
02M298,PACE HIGH SCHOOL,34%,95%,81%,3.93,2.59,3.60,N/A,2.94,3.22
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",41%,100%,75%,3.33,3.23,3.45,N/A,3.43,3.71
02M303,"FACING HISTORY SCHOOL, THE",49%,100%,93%,4.64,4.36,3.96,N/A,3.78,4.44
